sample_index,id,sample_id,client_id,sentence_id,primary_accent,clip,audio_duration_sec,whisper_runtime_sec,whisper_generation_runtime_sec,whisper_prepost_overhead_sec,whisper_generated_token_count,whisper_generation_limit_reached,asr_status,asr_error,nllb_runtime_sec,nllb_generation_runtime_sec,nllb_prepost_overhead_sec,nllb_generated_token_count,nllb_generation_limit_reached,mt_status,mt_error,cascade_stage_sum_runtime_sec,cascade_generation_sum_runtime_sec,cascade_realtime_factor,runtime_scope,cascade_status,cascade_error
0,sample_0001,spk_1329,,011490baf5692eb45577c9673689ba64ea5042f8ed216fa3af3d2f5cdd6bdbdc,England English,common_voice_en_470969.mp3,3.624,0.78880685599961,0.6695727579999584,0.11923409799965157,10.0,False,success,,0.38791037300052267,0.38202134299990576,0.005889030000616913,14.0,False,success,,1.1767172290001326,1.0515941009998642,0.3247012221302794,staged_whisper_pipeline_plus_nllb_pipeline,success,
1,sample_0002,spk_1385,,1de2845a12b84bcdfad2a954b83e79e5a54064eae0bce7da51d8576d19c483c3,England English,common_voice_en_19670219.mp3,9.264,0.908649209000032,0.8563704920006785,0.05227871699935349,19.0,False,success,,0.7220198040004107,0.7207749189992683,0.0012448850011423929,31.0,False,success,,1.6306690130004426,1.5771454109999468,0.17602213007345022,staged_whisper_pipeline_plus_nllb_pipeline,success,
2,sample_0003,spk_0337,,4933d68ff7a8bed9b55641bd748c0a15,England English,common_voice_en_17262688.mp3,2.016,0.4413953829998718,0.41769712999939657,0.023698253000475233,5.0,False,success,,0.19043748500007496,0.1894047200003115,0.001032764999763458,8.0,False,success,,0.6318328679999468,0.6071018499997081,0.3134091607142593,staged_whisper_pipeline_plus_nllb_pipeline,success,
3,sample_0004,spk_1445,,0dabc6a9640a139f548310fdd8306873589727eac1b58459182d8dab32276675,England English,common_voice_en_19057705.mp3,4.584,0.6669641179996688,0.6416419659999519,0.02532215199971688,12.0,False,success,,0.4874205259993687,0.4862247910004953,0.0011957349988733768,16.0,False,success,,1.1543846439990375,1.1278667570004473,0.2518291108200344,staged_whisper_pipeline_plus_nllb_pipeline,success,
4,sample_0005,spk_1337,,ad82860cbbd707b2ef54935f72957bdb744a9034e5e7dba0dc3d9523503162ff,England English,common_voice_en_48612.mp3,2.808,0.5753174279998348,0.5508075329998974,0.024509894999937387,9.0,False,success,,0.3201347989997885,0.3190974949993688,0.001037304000419681,11.0,False,success,,0.8954522269996232,0.8699050279992662,0.31889324323348406,staged_whisper_pipeline_plus_nllb_pipeline,success,
5,sample_0006,spk_0175,,c3a9f2dea7a7cb101a9fc643bcf85da5cfefa11dba136a7d62cf689a6ef0b6c7,England English,common_voice_en_18166047.mp3,3.312,0.4553968519994669,0.43183745500027726,0.02355939699918963,5.0,False,success,,0.25406263700006093,0.2531316249996962,0.0009310120003647171,9.0,False,success,,0.7094594889995278,0.6849690799999735,0.21420878291048545,staged_whisper_pipeline_plus_nllb_pipeline,success,
6,sample_0007,spk_0528,,d15f1e30bbd05c07461d11ac4192a9393a8aa82a00571cdbf3db8e6d46acc7fd,England English,common_voice_en_11812839.mp3,3.384,0.4844260879999638,0.46009752900044987,0.024328558999513916,6.0,False,success,,0.41015245499966113,0.40837023199947,0.001782223000191152,13.0,False,success,,0.8945785429996249,0.8684677609999198,0.26435536140650856,staged_whisper_pipeline_plus_nllb_pipeline,success,
7,sample_0008,spk_0987,,e4a25857d6ab2440d1fd4ddcc7b8102ce1e01d833a171d176b33296925d9a2ce,England English,common_voice_en_17847613.mp3,3.624,0.5986055190005573,0.5747304739998071,0.023875045000750106,7.0,False,success,,0.37182230899998103,0.3707496440001705,0.0010726649998105131,12.0,False,success,,0.9704278280005383,0.9454801179999777,0.2677780982341441,staged_whisper_pipeline_plus_nllb_pipeline,success,
8,sample_0009,spk_0608,,fd71dabc355603f69effef286b876383e7c457b9a4300dc3a9007232d3c1e3a0,England English,common_voice_en_17252567.mp3,2.304,0.513117169999532,0.48306687900003453,0.03005029099949752,5.0,False,success,,0.2730738720001682,0.27213169100014056,0.0009421810000276309,9.0,False,success,,0.7861910419997002,0.7551985700001751,0.3412287508679255,staged_whisper_pipeline_plus_nllb_pipeline,success,
9,sample_0010,spk_1355,,83554214cfcb106ab5802e28948d01c946423853b5c7849cce8d23f54662e63e,England English,common_voice_en_17699256.mp3,3.12,0.6369091970000227,0.6103576909999902,0.026551506000032532,7.0,False,success,,0.4771366750001107,0.47447068600013154,0.002665988999979163,17.0,False,success,,1.1140458720001334,1.0848283770001217,0.3570659846154274,staged_whisper_pipeline_plus_nllb_pipeline,success,
10,sample_0011,spk_0937,,5414a3dd05e8139e85e836fe78ffa5a0000e0209af2ca73190ecbb01a1f67a6a,England English,common_voice_en_674206.mp3,2.784,0.6343534669995279,0.605452398000125,0.028901068999402924,7.0,False,success,,0.3159317959998589,0.31470690599962836,0.0012248900002305163,10.0,False,success,,0.9502852629993868,0.9201593039997533,0.34133809734173376,staged_whisper_pipeline_plus_nllb_pipeline,success,
11,sample_0012,spk_0392,,a81db92c9202c9ede2df61532cf40d55,England English,common_voice_en_17265534.mp3,4.776,1.1014158689995384,1.0720245499996963,0.029391318999842042,17.0,False,success,,0.5220621790003861,0.5209871560000465,0.00107502300033957,16.0,False,success,,1.6234780479999245,1.5930117059997428,0.3399242144053443,staged_whisper_pipeline_plus_nllb_pipeline,success,
12,sample_0013,spk_1330,,69bc7bb74f1be523a79a74d07b7998bac00a2587507052993b79a153ebd4b929,England English,common_voice_en_148713.mp3,8.976,0.8996072800000547,0.8583302710003409,0.04127700899971387,18.0,False,success,,0.4860823409999284,0.48388962900025945,0.0021927119996689726,21.0,False,success,,1.3856896209999832,1.3422199000006003,0.15437718594028332,staged_whisper_pipeline_plus_nllb_pipeline,success,
13,sample_0014,spk_0274,,8cfe3ee51896970bcb7afc67f7ff9a76b25dc6946e32a50fee558519b7a01816,England English,common_voice_en_18087457.mp3,3.456,0.5825719090007624,0.5604099479996876,0.022161961001074815,9.0,False,success,,0.3755518509997273,0.3743211329992846,0.001230718000442721,16.0,False,success,,0.9581237600004897,0.9347310809989722,0.27723488425940096,staged_whisper_pipeline_plus_nllb_pipeline,success,
14,sample_0015,spk_0977,,b91243d7818613721bfcf7a89f2258e5044377e653b06856bc2460460fcc5c7d,England English,common_voice_en_690562.mp3,2.664,0.5703916440006651,0.5470372009995117,0.023354443001153413,8.0,False,success,,0.2712714250001227,0.26997125600064464,0.0013001689994780463,12.0,False,success,,0.8416630690007878,0.8170084570001563,0.31593959046576114,staged_whisper_pipeline_plus_nllb_pipeline,success,
15,sample_0016,spk_1311,,df3c337cd0fc8c91aed58b60513e38b70359bc4678a0484a03cff550080b483d,England English,common_voice_en_637849.mp3,2.52,0.5405612040003689,0.5171097709999231,0.02345143300044583,8.0,False,success,,0.2686185749998913,0.26753931299936085,0.0010792620005304343,12.0,False,success,,0.8091797790002602,0.7846490839992839,0.32110308690486516,staged_whisper_pipeline_plus_nllb_pipeline,success,
16,sample_0017,spk_0416,,58b17801e3ab5dd995c18314ae7fb663d7a7d563a95cee67914604bfed3b687f,England English,common_voice_en_18474958.mp3,3.816,0.6020539800001643,0.5774426999996649,0.02461128000049939,9.0,False,success,,0.2910611440001958,0.28776199000003544,0.0032991540001603425,12.0,False,success,,0.8931151240003601,0.8652046899997003,0.234044843815608,staged_whisper_pipeline_plus_nllb_pipeline,success,
17,sample_0018,spk_0661,,927bf3ff7ec4a9cddaf16533df87ea8e9a73e609290ff07b9bd3e9ca811d4717,England English,common_voice_en_319540.mp3,2.76,0.5052936590000172,0.4826367900004698,0.02265686899954744,7.0,False,success,,0.29694083200047316,0.2959500870001648,0.0009907450003083795,13.0,False,success,,0.8022344910004904,0.7785868770006346,0.29066467065235163,staged_whisper_pipeline_plus_nllb_pipeline,success,
18,sample_0019,spk_1160,,bafe6a43d11c5aab9911fef3c80b8ba5d579bbbb6ad12e356839993766d7702c,England English,common_voice_en_17586918.mp3,4.68,0.7487841100000878,0.7239059889998316,0.024878121000256215,14.0,False,success,,0.26537264499984303,0.26300915100000566,0.002363493999837374,12.0,False,success,,1.0141567549999309,0.9869151399998373,0.21670016132477157,staged_whisper_pipeline_plus_nllb_pipeline,success,
19,sample_0020,spk_1537,,182aaf3ff0c6885be02fa859703a3fdd5fef098c093c06a75f27d48840ab2e18,England English,common_voice_en_19534575.mp3,7.296,0.8039906390004035,0.7752212949999375,0.028769344000465935,15.0,False,success,,0.5814399760001834,0.5802685340004246,0.0011714419997588266,25.0,False,success,,1.3854306150005868,1.355489829000362,0.1898890645560015,staged_whisper_pipeline_plus_nllb_pipeline,success,
20,sample_0021,spk_0147,,114c527fd5338e110321992f1891b71afa10cec36763b44bce62733bab178c7a,England English,common_voice_en_698176.mp3,2.472,0.5711926180001683,0.5500860209995153,0.021106597000652982,9.0,False,success,,0.2668919129991991,0.26554202799979976,0.0013498849993993645,12.0,False,success,,0.8380845309993674,0.8156280489993151,0.33903095914213893,staged_whisper_pipeline_plus_nllb_pipeline,success,
21,sample_0022,spk_0857,,114c527fd5338e110321992f1891b71afa10cec36763b44bce62733bab178c7a,England English,common_voice_en_548502.mp3,2.664,0.5605255909995321,0.5384900369999741,0.022035553999558033,9.0,False,success,,0.26484575900030904,0.2622095699998681,0.002636189000440936,12.0,False,success,,0.8253713499998412,0.8006996069998422,0.3098240803302707,staged_whisper_pipeline_plus_nllb_pipeline,success,
22,sample_0023,spk_0916,,1a3614c3e7c744490fe984ff96cffd8d521610127f7aca155f7a9ab9ce59f6fa,England English,common_voice_en_19599203.mp3,8.976,0.9553373420003481,0.9246972500004631,0.030640091999885044,20.0,False,success,,0.49195829200016306,0.4905198750002455,0.0014384169999175356,21.0,False,success,,1.4472956340005112,1.4152171250007086,0.16124060093588582,staged_whisper_pipeline_plus_nllb_pipeline,success,
23,sample_0024,spk_0334,,2c2420f2951acf3c9f43fb2e9b314b2be57f4770498aa7ad4a01803f073aa90c,England English,common_voice_en_20001206.mp3,4.464,0.7341109540002435,0.707670146000055,0.026440808000188554,13.0,False,success,,0.3311436349995347,0.32991451700036123,0.001229117999173468,15.0,False,success,,1.0652545889997782,1.0375846630004162,0.2386323004031761,staged_whisper_pipeline_plus_nllb_pipeline,success,
24,sample_0025,spk_0563,,82e462e27c9dc46470fcf4dc66cf9bd02f52af7eace2c5ce936d04652f970aff,England English,common_voice_en_18343970.mp3,3.336,0.573689581000508,0.549238227999922,0.024451353000586096,9.0,False,success,,0.3977550439994957,0.3964526809995732,0.0013023629999224795,15.0,False,success,,0.9714446250000037,0.9456909089994952,0.2912004271582745,staged_whisper_pipeline_plus_nllb_pipeline,success,
