sample_index,id,sample_id,client_id,sentence_id,primary_accent,clip,audio_duration_sec,direct_runtime_sec,direct_generation_runtime_sec,direct_prepost_overhead_sec,direct_realtime_factor,generated_token_count,generation_limit_reached,runtime_scope,direct_status,direct_error
0,,spk_1329,,011490baf5692eb45577c9673689ba64ea5042f8ed216fa3af3d2f5cdd6bdbdc,England English,common_voice_en_470969.mp3,3.624,1.250223212999117,1.171805822999886,0.07841738999923109,0.3449843302977696,13,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1,,spk_1385,,1de2845a12b84bcdfad2a954b83e79e5a54064eae0bce7da51d8576d19c483c3,England English,common_voice_en_19670219.mp3,9.264,1.9805513690007501,1.9086787269989145,0.07187264200183563,0.21379008732736943,32,False,audio_load_to_text_decode_end_to_end_pipeline,success,
2,,spk_0337,,4933d68ff7a8bed9b55641bd748c0a15,England English,common_voice_en_17262688.mp3,2.016,0.8873151930001768,0.8726811150008871,0.01463407799928973,0.4401365044643734,9,False,audio_load_to_text_decode_end_to_end_pipeline,success,
3,,spk_1445,,0dabc6a9640a139f548310fdd8306873589727eac1b58459182d8dab32276675,England English,common_voice_en_19057705.mp3,4.584,0.9603664879996359,0.9217510919988854,0.03861539600075048,0.20950403315873384,11,False,audio_load_to_text_decode_end_to_end_pipeline,success,
4,,spk_1337,,ad82860cbbd707b2ef54935f72957bdb744a9034e5e7dba0dc3d9523503162ff,England English,common_voice_en_48612.mp3,2.808,0.9565718750000087,0.9386474809998617,0.017924394000147004,0.34065949964387776,11,False,audio_load_to_text_decode_end_to_end_pipeline,success,
5,,spk_0175,,c3a9f2dea7a7cb101a9fc643bcf85da5cfefa11dba136a7d62cf689a6ef0b6c7,England English,common_voice_en_18166047.mp3,3.312,0.9056596680002258,0.8831002159986383,0.022559452001587488,0.27344796739137256,9,False,audio_load_to_text_decode_end_to_end_pipeline,success,
6,,spk_0528,,d15f1e30bbd05c07461d11ac4192a9393a8aa82a00571cdbf3db8e6d46acc7fd,England English,common_voice_en_11812839.mp3,3.384,0.9263504970003851,0.9043576350013609,0.02199286199902417,0.27374423670224146,10,False,audio_load_to_text_decode_end_to_end_pipeline,success,
7,,spk_0987,,e4a25857d6ab2440d1fd4ddcc7b8102ce1e01d833a171d176b33296925d9a2ce,England English,common_voice_en_17847613.mp3,3.624,0.7201963269999396,0.6983122769997863,0.021884050000153366,0.19872967080572285,11,False,audio_load_to_text_decode_end_to_end_pipeline,success,
8,,spk_0608,,fd71dabc355603f69effef286b876383e7c457b9a4300dc3a9007232d3c1e3a0,England English,common_voice_en_17252567.mp3,2.304,0.8376396069998009,0.8210810640011914,0.016558542998609482,0.3635588572047747,7,False,audio_load_to_text_decode_end_to_end_pipeline,success,
9,,spk_1355,,83554214cfcb106ab5802e28948d01c946423853b5c7849cce8d23f54662e63e,England English,common_voice_en_17699256.mp3,3.12,1.0817340960002184,1.0621866950004915,0.01954740099972696,0.34670964615391614,14,False,audio_load_to_text_decode_end_to_end_pipeline,success,
10,,spk_0937,,5414a3dd05e8139e85e836fe78ffa5a0000e0209af2ca73190ecbb01a1f67a6a,England English,common_voice_en_674206.mp3,2.784,0.9008158730011928,0.8843650749986409,0.016450798002551892,0.32356891989985376,9,False,audio_load_to_text_decode_end_to_end_pipeline,success,
11,,spk_0392,,a81db92c9202c9ede2df61532cf40d55,England English,common_voice_en_17265534.mp3,4.776,1.2269510249989253,1.200097367998751,0.02685365700017428,0.25689929334148354,16,False,audio_load_to_text_decode_end_to_end_pipeline,success,
12,,spk_1330,,69bc7bb74f1be523a79a74d07b7998bac00a2587507052993b79a153ebd4b929,England English,common_voice_en_148713.mp3,8.976,1.9600845719996869,1.8871689580009843,0.07291561399870261,0.21836949331547312,24,False,audio_load_to_text_decode_end_to_end_pipeline,success,
13,,spk_0274,,8cfe3ee51896970bcb7afc67f7ff9a76b25dc6946e32a50fee558519b7a01816,England English,common_voice_en_18087457.mp3,3.456,1.5344257859997015,1.5067858550009987,0.027639930998702766,0.44398894270824696,13,False,audio_load_to_text_decode_end_to_end_pipeline,success,
14,,spk_0977,,b91243d7818613721bfcf7a89f2258e5044377e653b06856bc2460460fcc5c7d,England English,common_voice_en_690562.mp3,2.664,0.9712735659995815,0.9534043620005832,0.017869203998998273,0.3645921794292723,12,False,audio_load_to_text_decode_end_to_end_pipeline,success,
15,,spk_1311,,df3c337cd0fc8c91aed58b60513e38b70359bc4678a0484a03cff550080b483d,England English,common_voice_en_637849.mp3,2.52,1.0032295869987138,0.9853171750000911,0.0179124119986227,0.39810697896774355,13,False,audio_load_to_text_decode_end_to_end_pipeline,success,
16,,spk_0416,,58b17801e3ab5dd995c18314ae7fb663d7a7d563a95cee67914604bfed3b687f,England English,common_voice_en_18474958.mp3,3.816,0.9515285450015654,0.9274683099993126,0.02406023500225274,0.24935234407797835,11,False,audio_load_to_text_decode_end_to_end_pipeline,success,
17,,spk_0661,,927bf3ff7ec4a9cddaf16533df87ea8e9a73e609290ff07b9bd3e9ca811d4717,England English,common_voice_en_319540.mp3,2.76,0.937472257999616,0.9190058050007792,0.018466452998836758,0.3396638615940638,11,False,audio_load_to_text_decode_end_to_end_pipeline,success,
