measure,group,n,mean,median,std,min,max
source_word_count,contains_<unk>,508,9.881889763779528,10.0,3.511298580799446,2.0,21.0
source_word_count,no_<unk>,3692,8.86213434452871,8.0,3.5922953459372544,2.0,26.0
audio_duration_sec,contains_<unk>,508,5.0474173228346455,4.859999999999999,1.6964846282070227,1.824,9.36
audio_duration_sec,no_<unk>,3692,4.56050054171181,4.344,1.6623995833417762,1.728,9.384
direct_runtime_sec,contains_<unk>,508,1.0528529578700907,0.9853033469998991,0.27086657937240277,0.6643713879984716,2.4201011929999368
direct_runtime_sec,no_<unk>,3692,0.9110829313401957,0.8551873764990887,0.2347155147379926,0.542248482001014,2.144139919999361
direct_generation_runtime_sec,contains_<unk>,508,1.0205772995432665,0.9534486184993511,0.26230581427577543,0.6438620450007875,2.3519850539996696
direct_generation_runtime_sec,no_<unk>,3692,0.8808807369501495,0.8261612649985182,0.2265056865186852,0.5257182839995949,2.069365594001283
generated_token_count,contains_<unk>,508,19.37007874015748,19.0,5.153353439297208,9.0,42.0
generated_token_count,no_<unk>,3692,14.325839653304442,14.0,4.770512892034588,5.0,36.0
